experiment_number,num_students,num_schools,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,manipulators_ratio,default_fair_num_student,num_manipulations,algorithm,k,possible_percentage_manipulators,average_runtime,utility_rating_in_experiment,average_utility,average_utility_fair_students,average_utility_manipulator_students,average_actual_percentage_manipulators,average_number_manipulations,average_percentage_unassigned_students,average_percentage_unassigned_fair_students,average_percentage_unassigned_manipulator_students,k_to_schools_ratio
12.0,100,5,True,5,5,50,0.005,0.5,50,5,gs,1,50.0,2.4143203353881835,6.0,0.1579040305717567,0.0926562665283797,0.2231517946151336,48.32,94.24,37.48,73.2784,1.6816,0.2
12.0,100,5,True,5,5,50,0.005,0.5,50,5,gs,2,50.0,2.645065336227417,5.0,0.1886799103596417,0.1566210468297045,0.220738773889579,49.76,81.0,24.0584,47.9824,0.1344,0.4
12.0,100,5,True,5,5,50,0.005,0.5,50,5,gs,3,50.0,2.975426254272461,4.0,0.2086650996512192,0.2010541470904416,0.2162760522119968,43.12,62.56,10.4744,18.7376,2.2112,0.6
12.0,100,5,True,5,5,50,0.005,0.5,50,5,gs,4,50.0,3.28926115989685,3.0,0.2151945758101061,0.2150446035411677,0.2153445480790445,16.4,18.12,3.1984,4.04,2.3568,0.8
12.0,100,5,True,5,5,50,0.005,0.5,50,5,gs,5,50.0,3.3378904628753663,2.0,0.2160528075333275,0.2157267944224302,0.2163788206442249,0.0,0.0,0.0,0.0,0.0,1.0
12.0,100,5,True,5,5,50,0.005,0.5,50,5,boston,5,50.0,2.2846275997161865,1.0,0.2164501712993387,0.2158874728728354,0.217012869725842,0.0,0.0,0.0,0.0,0.0,1.0
111.0,200,10,True,5,5,50,0.002,0.5,100,10,gs,1,50.0,96.34989308357238,11.0,0.0737978210219161,0.0348180402752238,0.1127776017686084,50.0,403.32,43.0,81.4,4.6,0.1
111.0,200,10,True,5,5,50,0.002,0.5,100,10,gs,2,50.0,98.49729211807252,10.0,0.0775853279440758,0.0446602496665411,0.1105104062216105,49.94,472.8,39.288,74.76,3.816,0.2
111.0,200,10,True,5,5,50,0.002,0.5,100,10,gs,3,50.0,101.66653732299804,9.0,0.0775924364145223,0.0546895928183744,0.1004952800106702,49.42,404.32,38.5456,67.05680000000001,10.0344,0.3
111.0,200,10,True,5,5,50,0.002,0.5,100,10,gs,4,50.0,106.40774269104004,8.0,0.0816977436749182,0.0647611706402325,0.0986343167096039,49.96,350.32,32.4764,58.476000000000006,6.476800000000001,0.4
111.0,200,10,True,5,5,50,0.002,0.5,100,10,gs,5,50.0,112.21173434257508,7.0,0.0839011324872276,0.0711900197561742,0.096612245218281,48.84,256.56,27.9668,50.5168,5.4168,0.5
111.0,200,10,True,5,5,50,0.002,0.5,100,10,gs,6,50.0,119.38703124046326,6.0,0.0868865545678104,0.0773589562831815,0.0964141528524393,45.54,229.24,22.5656,41.964,3.1672,0.6
111.0,200,10,True,5,5,50,0.002,0.5,100,10,gs,7,50.0,126.73129405975342,5.0,0.0899543552832005,0.0842452845128876,0.0956634260535134,48.4,178.48,15.7232,30.384,1.0624,0.7
111.0,200,10,True,5,5,50,0.002,0.5,100,10,gs,8,50.0,134.5679130935669,4.0,0.0930184519835168,0.0915316453559453,0.0945052586110884,34.08,112.76,8.2296,13.7368,2.7224,0.8
111.0,200,10,True,5,5,50,0.002,0.5,100,10,gs,9,50.0,142.32062859535216,3.0,0.0934536103451247,0.0931479563869605,0.093759264303289,25.7,55.2,5.339600000000001,7.441599999999999,3.2376,0.9
111.0,200,10,True,5,5,50,0.002,0.5,100,10,gs,10,50.0,142.65726559638978,2.0,0.0940700845842176,0.0940024345497224,0.0941377346187128,0.0,0.0,0.0,0.0,0.0,1.0
111.0,200,10,True,5,5,50,0.002,0.5,100,10,boston,10,50.0,95.4906044960022,1.0,0.0941464785196941,0.0940738536716383,0.0942191033677498,0.0,0.0,0.0,0.0,0.0,1.0
112.0,200,10,True,5,5,50,0.002,0.75,50,5,gs,1,75.0,129.98836888313292,11.0,0.0758265901231254,0.0523044799519404,0.0836672935135205,68.24,415.12,47.06,71.928,38.77066666666666,0.1
112.0,200,10,True,5,5,50,0.002,0.75,50,5,gs,2,75.0,131.59855724334716,10.0,0.0845190142392797,0.0583578053616237,0.0932394171984984,72.94,514.2,34.8556,66.67360000000001,24.2496,0.2
112.0,200,10,True,5,5,50,0.002,0.75,50,5,gs,3,75.0,134.6834882736206,9.0,0.0866458852678843,0.0697905384256582,0.092264334215293,70.02,490.92,29.1516,57.44,19.72213333333333,0.3
112.0,200,10,True,5,5,50,0.002,0.75,50,5,gs,4,75.0,140.2830769634247,8.0,0.0895177274096431,0.0820451200856468,0.0920085965176419,74.24,454.44,22.613200000000003,46.4016,14.683733333333333,0.4
112.0,200,10,True,5,5,50,0.002,0.75,50,5,gs,5,75.0,149.2814466190338,7.0,0.0899110245721546,0.084484174434031,0.0917199746181958,70.16,376.12,19.8144,40.52,12.912533333333334,0.5
112.0,200,10,True,5,5,50,0.002,0.75,50,5,gs,6,75.0,160.10062808990477,6.0,0.0919669712854406,0.0828834690634869,0.0949948053594252,63.34,309.72,14.328399999999998,37.0576,6.752000000000001,0.6
112.0,200,10,True,5,5,50,0.002,0.75,50,5,gs,7,75.0,171.3481060218811,5.0,0.0931862168006694,0.0872592023669122,0.0951618882785884,68.16,246.04,9.3896,26.9312,3.5424,0.7
112.0,200,10,True,5,5,50,0.002,0.75,50,5,gs,8,75.0,182.6369654846192,3.0,0.0938193571982785,0.0926795196320141,0.0941993030537,43.22,136.84,6.5292,12.5856,4.510400000000001,0.8
112.0,200,10,True,5,5,50,0.002,0.75,50,5,gs,9,75.0,193.2271377277374,4.0,0.0937090601051806,0.0933617928246629,0.0938248158653531,31.06,66.0,4.7492,7.136,3.9536,0.9
112.0,200,10,True,5,5,50,0.002,0.75,50,5,gs,10,75.0,193.63305953025812,2.0,0.0941194693491307,0.0942106086649904,0.0940890895771775,0.0,0.0,0.0,0.0,0.0,1.0
112.0,200,10,True,5,5,50,0.002,0.75,50,5,boston,10,75.0,129.22536823272705,1.0,0.0941464785196941,0.0942733151251628,0.0941041996512044,0.0,0.0,0.0,0.0,0.0,1.0
113.0,200,10,True,5,5,50,0.002,0.75,50,8,gs,1,75.0,171.11238637924194,7.0,0.091214641192872,0.0526317987406309,0.1040755886769524,71.9,486.56,32.68,71.8848,19.611733333333333,0.1
113.0,200,10,True,5,5,50,0.002,0.75,50,8,gs,2,75.0,173.7995327281952,9.0,0.0898846299211644,0.0679463754484712,0.0971973814120621,74.46,539.08,31.0896,61.0608,21.0992,0.2
113.0,200,10,True,5,5,50,0.002,0.75,50,8,gs,3,75.0,179.80400051116942,10.0,0.0896604109772482,0.0786415776550568,0.0933333554179787,74.74,547.36,28.2476,52.3424,20.216,0.3
113.0,200,10,True,5,5,50,0.002,0.75,50,8,gs,4,75.0,188.4482803153992,6.0,0.091341144711508,0.0911818409872971,0.0913942459529116,70.84,447.04,24.6108,40.1456,19.43253333333333,0.4
113.0,200,10,True,5,5,50,0.002,0.75,50,8,gs,5,75.0,197.0729946899414,11.0,0.0876345956310319,0.0898816559677369,0.0868855755187969,58.94,280.32,28.663200000000003,36.4336,26.073066666666666,0.5
113.0,200,10,True,5,5,50,0.002,0.75,50,8,gs,6,75.0,209.67326853752127,8.0,0.0909940178711303,0.0859458196982397,0.0926767505954272,48.24,248.6,21.3248,35.7056,16.531200000000002,0.6
113.0,200,10,True,5,5,50,0.002,0.75,50,8,gs,7,75.0,226.853656167984,5.0,0.0927952335813115,0.0869999284386102,0.0947270019622119,55.0,247.96,14.88,30.8816,9.546133333333334,0.7
113.0,200,10,True,5,5,50,0.002,0.75,50,8,gs,8,75.0,240.5409489059448,4.0,0.0936657880841997,0.0888939058932349,0.0952564154811879,64.4,207.68,9.8684,26.4656,4.336,0.8
113.0,200,10,True,5,5,50,0.002,0.75,50,8,gs,9,75.0,252.63700057029723,3.0,0.0938986863328488,0.0930179330665462,0.0941922707549497,44.14,96.6,6.9472000000000005,12.900800000000002,4.962666666666666,0.9
113.0,200,10,True,5,5,50,0.002,0.75,50,8,gs,10,75.0,253.07015629768367,1.0,0.0946048961132229,0.0942857331584769,0.0947112837648049,0.0,0.0,0.0,0.0,0.0,1.0
